title,authors,journal,DOI,abstract,year,volume,issue,pages
Impact of short- and long-term heat stress on reproductive potential of <i>Drosophila suzukii</i> Matsumura (Diptera: Drosophilidae),"Evans, Richard K. and Toews, Michael D. and Sial, Ashfaq A.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2018.09.011,"Drosophila suzukii Matsumura (Diptera: Drosophilidae) is an invasive vinegar fly of Asian origin now distributed throughout North America. Due to the unique morphology of females, this fly has become one of the most serious pests of thin-skinned fruits including blueberry, blackberry, cherry, raspberry, and strawberry. Prophylactic insecticide applications are commonly used to control this fly. A more sustainable approach to managing this invasive pest may not be possible without a clear understanding of the biology of this species under extreme environmental conditions. Specifically, high temperature is known to interfere with development and reproduction of drosophilids; however, the impact of high temperature on D. suzukii needs to be further investigated. The objective of the present study was to investigate the impact of exposure to constant and relatively short-term heat stress on reproductive success of D. suzukii, and potential for recovery. Results show that the development and reproduction of D. suzukii were negatively affected by constant and relatively short-term heat stress. Under constant heat stress, oviposition rate and adult lifespan decreased as temperature increased from 24 degrees C to 33 degrees C and reproduction was completely absent at 33 degrees C. Under relatively short-term heat stress, oviposition, pupation, and adult eclosion were significantly decreased as temperature increased from 28 degrees C to 34 degrees C. The short-term heat stress greatly reduced the fertility of both male and female D. suzukii which was recovered eight days after treatment. This study provides basic information on thermal biology of D. suzukii to help us better understand the trends commonly observed in D. suzukii trap captures in regions with hot summer conditions, and the results can be used in population models to predict its population dynamics in regions where high temperatures prevail during the field season.",2018,78,NA,92-99
Exploring physiological plasticity and local thermal adaptation in an intertidal crab along a latitudinal cline,"Diego Gaitan-Espitia, Juan and Bacigalupe, Leonardo D. and Opitz, Tania and Lagos, Nelson A. and Osores, Sebastian and Lardies, Marco A.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2017.02.011,"Intertidal organisms have evolved physiological mechanisms that enable them to maintain performance and survive during periods of severe environmental stress with temperatures close to their tolerance limits. The level of these adaptive responses in thermal physiology can vary among populations of broadly distributed species depending on their particular environmental context and genetic backgrounds. Here we examined thermal performances and reaction norms for metabolic rate (MR) and heart rate (HR) of seven populations of the porcelanid crab Petrolisthes violaceus from markedly different thermal environments across the latitudinal gradient of similar to 3000 km. Physiological responses of this intertidal crab under common-garden conditions suggest the absence of local thermal adaptation along the geographic gradient (i.e., lack of latitudinal compensation). Moreover, thermal physiological sensitivities and performances in response to increased temperatures evidenced the existence of some level of: i) metabolic rate control or depression during warm temperature exposures; and ii) homeostasis/canalization (i.e., absence or low levels of plasticity) in physiological traits that may reflect some sort of buffering mechanism in most of the populations. Nevertheless, our results indicate that elevated temperatures can reduce cardiac function but not metabolic rate in high latitude crabs. The lack of congruence between HR and MR supports the idea that energy metabolism in marine invertebrates cannot be inferred from HR and different conclusions regarding geographic differentiation in energy metabolism can be obtained from both physiological traits. Integrating thermal physiology and species range extent can contribute to a better understanding of the likely effects of climate change on natural populations of marine ectotherms.",2017,68,A,14-20
"Effect of heat stress on performance and expression of selected amino acid and glucose transporters, HSP90, leptin and ghrelin in growing pigs","Cervantes, Miguel and Cota, Margarita and Arce, Nestor and Castillo, Gilberto and Avelar, Ernesto and Espinoza, Salvador and Morales, Adriana",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2016.04.014,"Exposing animals to high ambient temperature provokes heat stress (HS) that may affect cellular function and reduced productive performance. The effect of chronic exposure (21d) of pigs to high ambient temperature on expression of amino acid (b(0,+)AT, CAT1) and glucose (SGLT1, GLUT4) transporters, ghrelin, leptin and HSP90 was evaluated. Eighteen pigs (32.6 kg body weight) were distributed into 3 groups: (1) pigs housed under natural high ambient temperature conditions, and fed ad libitum (HS); (2) pigs housed in an air-conditioned room at 24 degrees C (thermo-neutral) fed ad libitum (TNad); (3) pigs housed as in (2), but pair-fed with the HS pigs (TNpf). Body temperature, respiratory frequency, weight gain, feed intake, and feed conversion ratio were measured. At d-21 pigs were euthanized and samples from stomach, duodenum, jejunum, liver, longissimus and semitendinosus muscles, and white adipose tissue were collected for mRNA analysis. In the HS room ambient temperature fluctuated every day (23.6-37.6 degrees C). Respiratory frequency and body temperature were higher in HS pigs (P < 0.001). Weight gain and feed intake of TNad were higher (P < 0.001) than TNpf and HS; gain: feed ratio was not affected by ambient temperature. Expression of HSP90 was higher in duodenum and longissimus (P <= 0.038) of HS compared to TNpf: Expression of ghrelin, leptin and b(0,+)AT were not affected by ambient temperature (P > 0.050). CAT1 expression in liver was higher (P=0.050) but in longissimus was lower (P=0.017) in HS than in TNpf pigs. Expression of SGLT1 was higher (P=0.045) in duodenum of HS than in TNpf but it was not different in jejunum (P=0.545); GLUT4 tended to be higher in liver and semitendinosus of HS pigs (P=0.063). In conclusion, feed intake remains low whereas respiratory frequency and body temperature remain higher; and expression of HSP90, CAT1, SGLT1 and GLUT4 increases in some tissues in pigs tinder chronic HS conditions. (C) 2016 Elsevier Ltd. All rights reserved.",2016,59,NA,69-76
"Diurnal ammonia and urea excretion rates in European sea bass, <i>Dicentrarchus labrax</i> fed diets containing mixtures of canola and cotton seed oil at two different ambient temperature","Engin, Kenan and Eroldogan, O. Tufan and Ozsahinoglu, Ilgin and Yilmaz, H. Asuman and Mumogullarinda, Pinar",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2013.10.004,"The knowledge about the combined effects of higher temperature and dietary nutrient quality on the diurnal nitrogenous excretion rates is very limited in farmed fish species including European sea bass. Therefore this study investigated the combined effects of increasing levels (30 vs. 60\%) of dietary fish oil replacement by equal mixture of cotton seed oil (CSO) and canola oils (CO) and two different ambient temperature (24 vs. 30 degrees C) on diurnal total ammonia and Urea-N excretion rates in European sea bass (Dicentrarchus labrax). Experimental diets were fed to fish three times (08:30-13:30-18:30 h) at a fixed rate of 3\% BW.d(-1). The daily consumed nitrogen and energy intake of fish were similar during the investigation in different dietary treatments. However, the daily excretion rates of TAN, total nitrogen (TAN+Urea-N) and total nitrogen expressed as a proportion of consumed nitrogen by the European sea bass maintained at 30 degrees C were found to be significantly (P < 0.001) higher (40 to 50\%) than fish maintained at 24 degrees C in all the dietary treatments suggesting higher rates of deamination of ingested amino acids with increased temperature. Daily urea-nitrogen excretion of fish accounted for between 20-30\% of total ammonia-nitrogen excretion rates for each dietary treatment at 24 and 30 degrees C and appeared to be slightly increased by the temperature but neither the temperature nor the amount of plant oil mixture inclusion in diets or the interaction of these two factors had a significant effect on the urea nitrogen excretion rates of fish in different dietary treatments. However, Urea-N excretion rates in fish fed fish oil only (FO) diet were significantly higher (P < 0.05) compared to that of fish fed diets containing increasing amount of plant oil mixture (VOM30 and VOM 60) during the light-on phase of the sampling period at 24 degrees C indicating periodic enhancement of permeability for urea at excretion sites. Further research is needed in order to elucidate the mechanism of nitrogenous excretion in European sea bass fed plant oil containing diets under extreme summer time temperatures employing total dietary fish oil replacement to reveal the possible effects of alteration in cell membrane phospholipid composition on enzymes responsible for nitrogenous excretion and/or detoxification. (C) 2013 Elsevier Ltd. All rights reserved.",2013,38,8,588-596
"Fatty acid metabolism and antioxidant capacity in<i> Gymnocypris</i><i> przewalskii</i> (Kessler, 1876) response to thermal stress","Liu, Sijia and Chen, Shengxue and Lu, Chunna and Qi, Delin and Qi, Hongfang and Wang, Yang and Zhao, Kai and Tian, Fei",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2023.103650,"The Qinghai-Tibet Plateau is undergoing a wet-warming transition, which could affect the survival of the native fish. However, the tolerance and physiological response to thermal stress is rarely studied in Gymnocypris przewalskii, a rare native fish in the Tibetan plateau. In this study, first, we detected the thermal tolerance of five groups of six-month G. przewalskii which acclimated at 8, 12, 16, 20, and 24 \& DEG;C for two weeks, respectively, by critical thermal methodology. Then, through heat challenge, we detected the metabolites, key enzyme activities, and gene expressions involved in metabolism and antioxidant in the hepatopancreas when the temperatures increased from 16 \& DEG;C to 18, 20, 22, 24, 26, and 28 \& DEG;C for 12 h, respectively. The results showed that although the fish are sensitive to high temperatures, the quick acclimation at mild high temperatures could significantly improve the tolerance to acute high-temperature stress in juvenile G. przewalskii. During the heat challenge study, blood glucose significantly increased at heat stress (P < 0.05). At the same time, total cholesterol (TC), triglyceride (TG), and free fatty acid (FFA) significantly decreased when the temperature rose continuously to 20 \& DEG;C. Metabolic enzyme activities of carnitine palmityl transferase I (CPT-I), acetyl-CoA carboxylase (ACC), and fatty acid synthase (FAS) significantly decreased at 20 \& DEG;C (P < 0.05). Superoxide dismutase (SOD) and antioxidant capacity (T-AOC) significantly increased at 20 \& DEG;C (P < 0.05). The relative transcript levels of genes involved in antioxidant and glycolysis/gluconeogenesis were markedly higher than the control at 20-26 \& DEG;C (P < 0.05). The genes involved in fatty acid biosynthesis or metabolism showed different expression patterns under heat stress. Heat shock protein 70 (Hsp70) and Hsp90 were significantly higher than the control at 18 \& DEG;C and 26 \& DEG;C, respectively. These results confirmed the prediction that G. przewalskii is sensitive to high temperatures, so conservation efforts should pay more attention to the warming damage.",2023,116,NA,NA
Temperature responses vary between riffle beetles from contrasting aquatic environments,"Nair, Parvathi and Gibson, James R. and Schwartz, Benjamin F. and Nowlin, Weston H.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2023.103485,"Organisms living in environmentally stable ecosystems are hypothesized to exhibit narrow environmental tolerance ranges; however, previous experiments testing this prediction with invertebrates in spring habitats are equivocal. Here we examined the effects of elevated temperatures on four riffle beetle species (family: Elmidae) native to central and west Texas, USA. Two of these, Heterelmis comalensis and Heterelmis cf. glabra are known to occupy habitats immediately adjacent to spring openings and are thought to have stenothermal tolerance pro-files. The other two, Heterelmis vulnerata and Microcylloepus pusillus are surface stream species with more cosmopolitan distributions and are assumed to be less sensitive to variation in environmental conditions. We examined performance and survival of elmids in response to increasing temperatures using dynamic and static assays. Additionally, changes in metabolic rate in response to thermal stress were assessed for all four species. Our results indicated that spring-associated H. comalensis is most sensitive while the more cosmopolitan elmid M. pusillus is least sensitive to thermal stress. However, there were differences in temperature tolerances among the two spring-associated species: H. comalensis had relatively narrow thermal tolerance in comparison to H. cf. glabra. This could be due to differences in the climatic and hydrological conditions in the geographical regions which the respective riffle beetle populations reside. However, despite these differences, H. comalensis and H. cf. glabra showed a dramatic increase in their metabolic rates with increasing temperatures indicating that these species are indeed spring specialists and likely have a stenothermal profile.",2023,112,NA,NA
Metabolic and respiratory chemosensitivity and brain monoaminergic responses to cold exposure in chicks subjected to thermal manipulation during incubation,"Rocha, Aline C. G. and Patrone, Luis Gustavo A. and Cristina-Silva, Caroline and da Costa Silva, Kaoma Stephani and Bicego, Kenia C. and Szawka, Raphael E. and Gargaglioni, Luciane H.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2022.103317,"We evaluated ventilation (VE), body temperature (TB), oxygen consumption (V O2), respiratory equivalent (VE/ V O2), and monoamine concentrations of 14-day-old (14d) male and female chicks from eggs incubated at low (LT, 36 degrees C), control (CT, 37.5 degrees C) and high (HT, 39 degrees C) temperature during the early embryonic phase, to normoxia, hypercapnia and hypoxia under exposure to cold environment (20 degrees C). At normoxia, acute cold exposure did not affect the ventilatory variables, with the exception of HT males, in which cold prevented the reduced VE observed under thermoneutral conditions. Exposure to 20 degrees C caused a decrease in TB in both sexes, and LT and HT females presented a greater hypothermic response. Hypercapnia combined with cold did not alter the ventilatory vari-ables, but LT females and CT males and females showed a blunted CO2-induced hyperventilation due to a higher V O2, compared to the same groups in thermoneutral conditions. Unlike with thermoneutral conditions, the blunted hypercapnic hyperventilation observed in the HT groups was not observed during cold challenge. CO2 exposure promoted a similar decrease in TB in the thermoneutral and acutely cold exposed groups, while LT females under cold condition presented a blunted hypothermic response. During hypoxia, cold challenge attenuated the increase in VE in LT females and HT males, due to changes in VT. Hypoxic metabolic depression was greater in LT females and males and HT males during cold exposure, while no change in VE/ V O2 was observed. The only alteration in monoaminergic concentration under cold challenge was an increase in brain -stem 5-HIAA and 5-HIAA/5-HT ratio in HT females, and an enhanced 5-HT concentration in HT males. In summary, thermal manipulation during embryogenesis induces 14d old chicks to respond differently to cold stress with LT females and HT males being more sensitive.",2022,109,NA,NA
Structural and functional characterization of turbot<i> pparγ:</i> Activation during high temperature and regulation of lipid metabolism,"Zhao, Tingting and Ma, Aijun and Huang, Zhihui and Liu, Zhifeng and Sun, Zhibin and Wang, Xinan and Xu, Rongjing",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2022.103279,"Transcription factors of the peroxisome proliferator-activated receptor gamma (ppar gamma) is a ligand-activated receptor that plays key roles in lipid metabolism and inflammation. In this study, we cloned the ppar gamma cDNA of turbot (Scophthalmus maximus). It has a 1659 bp coding sequence (CDS) and encodes 552 amino acids. The deduced PPAR gamma protein of turbot contains two highly conserved domains, a C4-type zinc finger, a nuclear hormone receptor DNA-binding region signature, and a HOLI domain (ligand-binding domain of hormone receptors) identical to that of in other species. qPCR results showed that the expression level of ppar gamma and the expression of the fatty acid transporters fatp and cd36 were significantly increased under high-temperature stress. This indicates that high temperatures activate the transcriptional activity of ppar gamma, and lipid metabolism plays an important role in turbot under high-temperature stress. In addition, RNA interference was used to explore the regulation of ppar gamma on lipid metabolism of turbot at high temperatures. The results showed that the mRNA level of ppar gamma was significantly decreased. After the expression level of ppar gamma was inhibited, the expression levels of fatp and cd36 were significantly decreased. At the same time, GW9662 (a ppar gamma antagonist) was used to inhibit ppar gamma activity in turbot kidney cells, and fatp and cd36 gene expressions were detected. The mRNA expression levels of ppar gamma, fatp, and cd36 were significantly decreased. Our results suggest that high temperatures activate ppar gamma in turbot and that ppar gamma regulates lipid transport and maintains lipid metabolism homeostasis through positive regulation of the expression of downstream genes fatp and cd36. This study further elucidates that the ppar gamma- mediated signaling pathway may play an important role in regulating lipid metabolism during heat stress in teleost fish.",2022,108,NA,NA
"Integrating thermal tolerance, water balance and morphology: An experimental study on dung beetles","Nervo, Beatrice and Roggero, Angela and Isaia, Marco and Chamberlain, Dan and Rolando, Antonio and Palestrini, Claudia",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2021.103093,"The impacts of extreme and rising mean temperatures due to climate change can pose significant physiological challenges for insects. An integrated approach that focuses on mechanisms of body temperature regulation, water balance and morphology may help to unravel the functional traits underpinning thermoregulation strategies and the most relevant trade-offs between temperature and water balance regulation. Here, we focused on four species of tunneler dung beetles as important providers of ecosystem services. In this experimental research, we first quantified two traits related to desiccation resistance and tolerance via experimental tests, and subsequently defined two levels of resistance and tolerance (i.e. low and high) according to significant differences among species. Second, we identified morphological traits correlated with water balance strategies, and we found that desiccation resistance and tolerance increased with small relative size of spiracles and wings. High levels of desiccation tolerance were also correlated with small body mass. Third, by integrating thermal tolerance with functional traits based on desiccation resistance and desiccation tolerance, we found that the species with the highest survival rates under elevated temperatures (Euoniticellus fulvus) was characterized by low desiccation resistance and high desiccation tolerance. Our results suggest shared physiological and morphological responses to temperature and desiccation, with potential conflicts between the need to regulate heat and water balance. They also highlighted the sensitivity of a large species such as Geotrupes stercorarius to warm and arid conditions with potential implications for its geographic distribution and the provisioning of ecosystem services under a climate change scenario.",2021,101,NA,NA
"Heat stress inhibits expression of the cytokines, and NF-κB-NLRP3 signaling pathway in broiler chickens infected with <i>salmonella typhimurium</i>","Tang, Lu-Ping and Li, Wei-Hao and Liu, Yi-Lei and Lun, Jian-Chi and He, Yong-Ming",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2021.102945,"High ambient temperature has potential influence on oxidative stress, or systemic inflammation affecting poultry production and immune status of chickens. Heat stress (HS) induces intestinal inflammation and increases susceptibility of harmful pathogens, such as Salmonella and Escherichia coli. Intestinal inflammation is a common result of body immune dysfunction. Therefore, we designed an experiment to analyze the effects of 35 +/- 2 degrees C HS on salmonella infection in chickens through regulation of the immune responses. 40 broiler chickens were randomly divided into 4 groups: control group, heat stress (HS) group, salmonella typhimurium (ST) group and model group (heat stress + salmonella typhimurium, HS + ST). Birds in HS and model group were treated with 35 +/- 2 degrees C heat stress 6 h a day and for 14 continuous days. Then, ST and model group birds were orally administrated with 1 mL ST inoculum (10(9) cfu/mL). Chickens were sacrificed at the 4th day after ST administration and ileum tissues were measured. We observed that heat stress decreased ileum TNF-alpha and IL-1 beta protein expressions. Concomitantly heat stress decreased NLRP3 and Caspase-1 protein levels. The protein expressions of p-NF-kappa B-p65 and p-I kappa B-alpha in ileum. Heat stress also inhibited IFN-alpha, p-IRF3 and p-TBK1, showing a deficiency in the HS + ST group birds. Together, the present data suggested that heat stress suppressed intestinal immune activity in chickens infected by salmonella typhimurium, as observed by the decrease of immune cytokines levels, which regulated by NF-kappa B-NLRP3 signaling pathway.",2021,98,NA,NA
Physiological and molecular responses to thermal stress in red cusk-eel (<i>Genypterus chilensis</i>) juveniles reveals atrophy and oxidative damage in skeletal muscle,"Dettleff, Phillip and Zuloaga, Rodrigo and Fuentes, Marcia and Gonzalez, Pamela and Aedo, Jorge and Estrada, Juan Manuel and Molina, Alfredo and Valdes, Juan Antonio",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2020.102750,"The red cusk-eel (Genypterus chilensis) is a native species with strong potential to support Chilean aquaculture diversification. Environmental stressors, such as temperature, may generate important effects in fish physiology with negative impact. However, no information exists on the effects of thermal stress in Genypterus species or how this stressor affects the skeletal muscle. The present study evaluated for the first time the effect of high temperature stress in red cusk-eel juveniles to determine changes in plasmatic markers of stress (cortisol, glucose and lactate dehydrogenase (LDH)), the transcriptional effect in skeletal muscle genes related to (i) heat shock protein response (hsp60 and hsp70), (ii) muscle atrophy and growth (foxo1, foxo3, fbxo32, murf-1, myod1 and ddit4), and (iii) oxidative stress (cat, sod1 and gpx1), and evaluate the DNA damage (AP sites) and peroxidative damage (lipid peroxidation (HNE proteins)) in this tissue. Thermal stress generates a significant increase in plasmatic levels of cortisol, glucose and LDH activity and induced heat shock protein transcripts in muscle. We also observed an upregulation of atrophy-related genes (foxo1, foxo3 and fbxo32) and a significant modulation of growth-related genes (myod1 and ddit4). Thermal stress induced oxidative stress in skeletal muscle, as represented by the upregulation of antioxidant genes (cat and sod1) and a significant increase in DNA damage and lipid peroxidation. The present study provides the first physiological and molecular information of the effects of thermal stress on skeletal muscle in a Genypterus species, which should be considered in a climate change scenario.",2020,94,NA,NA
Cyclical and stochastic thermal variability affects survival and growth in brook trout,"Pisano, Olivia M. and Kuparinen, Anna and Hutchings, Jeffrey A.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2019.07.012,"Directional changes in temperature have well-documented effects on ectotherms, yet few studies have explored how increased thermal variability (a concomitant of climate change) might affect individual fitness. Using a common-garden experimental protocol, we investigated how bidirectional temperature change can affect survival and growth of brook trout (Salvelinus fontinalis) and whether the survival and growth responses differ between two populations, using four thermal-variability treatments (mean: 10 degrees C; range: 7-13 degrees C): (i) constancy; (ii) cyclical fluctuations every two days; (iii) low stochasticity (random changes every 2 days); (iv) high stochasticity (random changes daily). Recently hatched individuals were monitored under thermal variability (6 weeks) and a subsequent one-month period of thermal constancy. We found that variability can positively influence survival, relative to thermal constancy, but negatively affect growth. The observations reported here can be interpreted within the context of Jensen's Inequality (performance at average conditions is unequal to average performance across a range of conditions). Projections of future population viability in the context of climate change would be strengthened by increased experimental attention to the fitness consequences of stochastic and non-stochastic thermal variability.",2019,84,NA,221-227
High oxidative stress despite low energy metabolism and vice versa: Insights through temperature acclimation in an ectotherm,"Bury, Stanislaw and Cichon, Mariusz and Bauchinger, Ulf and Sadowska, Edyta T.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2018.08.003,"Reactive oxygen species (ROS) are inescapable byproducts of energy metabolism and may cause costly damage to biomolecules. Organisms have evolved different means to counter oxidative stress, such as modulation of ROS production, neutralization of produced ROS through free radical scavenging and the repair or removal of the damaged structures. A positive relationship between metabolic rate and ROS production is commonly expected, but the oxidative burden of aerobic metabolism remains poorly understood. We investigated whether acclimation to ambient temperatures imposing variation in standard metabolic rate (SMR) is mirrored in the oxidative status of an ectotherm. Grass snakes (Natrix natrix) acclimated for six months to warm (32 degrees C) conditions revealed seven times higher SMR compared to cold-acclimated (18 degrees C) individuals. In contrast to SMR, the amount of damage measured as reactive oxygen metabolites test (dROMs) and abundance of micronucleated erythrocytes was significantly lower in warm-acclimated individuals, while non-enzymatic antioxidant capacity of plasma was unaltered by thermal acclimation. Our results support that high SMR may allow snakes to better cope with oxidative stress, possibly through tissue repair or removal of damaged tissues that also requires energy costs. The reversed association between self-maintenance metabolism and oxidative damage to biomolecules provides novel rational for temperature dependent life histories of ectotherms. How oxidative stress may contribute to the known reduced rates of ectotherm growth or reproduction under cold temperatures or if oxidative stress may even drive such life history trait declines are now important challenges to be addressed.",2018,78,NA,36-41
"Warming, but not infection with Borrelia burgdorferi , increases off-host winter activity in the ectoparasite, Ixodes scapularis","Ferguson, Laura V. and El Nabbout, Amal and Adamo, Shelley A.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2024.103853,"Warming winters will change patterns of behaviour in temperate and polar arthropods, but we know little about the drivers of winter activity in animals such as ticks. Any changes in behaviour are likely to arise from a combination of both abiotic (e.g. temperature) and biotic (e.g. infection) drivers, and will have important consequences for survival and species interactions. Blacklegged ticks, Ixodes scapularis, have invaded Atlantic Canada and high proportions (30-50\%) are infected with the bacteria causing Lyme disease, Borrelia burgdorferi. Infection is correlated with increased overwintering survival of adult females, and ticks are increasingly active in the winter, but it is unclear if infection is associated with activity. Further, we know little about how temperature drives the frequency of winter activity. Here, we exposed wild-caught, adult, female Ixodes scapularis ticks to three different winter temperature regimes (constant low temperatures, increased warming, and increased warming + variability) to determine the thermal and infection conditions that promote or suppress activity. We used automated behaviour monitors to track daily activity in individual ticks and repeated the study with fresh ticks over three years. Following exposure to winter conditions we determined whether ticks were infected with the bacteria B. burgdorferi and if infection was responsible for any patterns in winter activity. Warming conditions promoted increased activity throughout the overwintering period but infection with B. burgdorferi had no impact on the frequency or overall number of ticks active throughout the winter. Individual ticks varied in their levels of activity throughout the winter, such that some were largely dormant for several weeks, while others were active almost daily; however, we do not yet know the drivers behind this individual variation in behaviour. Overall, warming winters will heighten the risk of tick-host encounters.",2024,121,NA,NA
"Expression of the gonad-specific small heat shock protein,<i> CfHSP20.2,</i> in the spruce budworm,<i> Choristoneura</i><i> fumiferana</i> (Clem.)","Quan, Guoxing and Duan, Jun and Fick, William and Candau, Jean-Noel",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2023.103463,"Small heat shock proteins (sHSPs) play important roles in insect development and stress resistance. However, the in vivo functions and mechanisms of action remain largely unknown or unclear for most members of the sHSPs in insects. This study investigated the expression of CfHSP20.2 in the spruce budworm, Choristoneura fumiferana (Clem.) under normal and heat-stress conditions. Under normal conditions, CfHSP20.2 transcript and protein were highly and constantly expressed in the testes of male larvae, pupae and young adults and in the ovaries of female late-stage pupae and adults. After adult eclosion, CfHSP20.2 remained highly and almost constantly expressed in the ovaries, but in contrast, was downregulated in the testes. Upon heat stress, CfHSP20.2 was upregulated in the gonads and non-gonadal tissues in both sexes. These results indicate that CfHSP20.2 expression is gonad-specific and heat-inducible. This provides evidence that the CfHSP20.2 protein plays important roles during reproductive development under normal environmental conditions, while under heat-stress conditions, it may also enhance the thermal tolerance of the gonads and non-gonadal tissues.",2023,112,NA,NA
Fish pre-acclimation temperature only modestly affects cadmium toxicity in Atlantic salmon hepatocytes,"Olsvik, Pal A. and Softeland, Liv and Hevroy, Ernst M. and Rasinger, Josef D. and Waagbo, Rune",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2016.02.003,"An emerging focus in environmental toxicology is how climate change will alter bioavailability and uptake of contaminants in organisms. Ectothermic animals unable to adjust their temperature by local migration, such as farmed fish kept in net pens, may become more vulnerable to contaminants in warmer seas. The aim of this work was to study cadmium (Cd) toxicity in cells obtained from fish acclimated to sub-optimal growth temperature. Atlantic salmon hepatocytes, harvested from fish pre-acclimated either at 15 degrees C (optimal growth temperature) or 20 degrees C (heat-stressed), were exposed in vitro to two concentrations of Cd (control, 1 and 100 mu m Cd) for 48 h. Cd-induced cytotoxicity, determined with the xCELLigence system, was more pronounced in cells from fish pre-acclimated to a high temperature than in cells from fish grown at optimal temperature. A feed spiked with antioxidants could not ameliorate the Cd-induced cytotoxicity in cells from temperature-stressed fish. At the transcriptional level, Cd exposure affected 11 out of 20 examined genes, of which most are linked to oxidative stress. The transcriptional levels of a majority of the altered genes were changed in cells harvested from fish grown at sub-optimal temperature. Interaction effects between Cd exposure and fish pre-acclimation temperature were seen for four transcripts, hmox1, mapk1, fth1 and mmp13. Overall, this study shows that cells from temperature-stressed fish are modestly more vulnerable to Cd stress, and indicate that mechanisms linked to oxidative stress may be differentially affected in temperature-stressed cells. (C) 2016 Elsevier Ltd. All rights reserved.",2016,57,NA,21-34
Corticosterone tissue-specific response in Sprague Dawley rats under acute heat stress,"Dou, Jinhuan and Montanholi, Yuri R. and Wang, Zezhao and Li, Zhongshu and Yu, Ying and Martell, Janel E. and Wang, Ya Jing and Wang, Yachun",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2019.02.004,"Our study evaluated the physiological responses to acute heat stress in rats via body temperature and tissue corticosterone levels, and investigated the relative tissue response to heat stress based on corticosterone. Body temperature of rats under 22 degrees C (control) and 42 degrees C for 30 (H30), 60 (H60) and 120 min (H120) was measured. Correspondingly, corticosterone was analyzed in 11 tissues (adrenal, brain, heart, kidney, liver, lung, leg muscle, blood, stomach, spleen and small intestine). Analysis of variance and correlations were conducted on body temperature and corticosterone levels. The receiver operating characteristic (ROC) analyzed the thereto-sensitivity via corticosterone. Body temperature of rats in H30, H60 and H120 groups were higher (P < 0.05) than the control. Compared to the control, corticosterone levels of heart, stomach and small intestine at H30, corticosterone levels in adrenal, leg muscle and stomach at H60, and corticosterone levels in adrenal, heart, lung, stomach and small intestine at H120 differed (P < 0.05). The corticosterone in lung tissue was an excellent indicator of acute heat stress, with an area under the curve (AUC) of 1.00 at H60 and H120. In order to improve the prediction of acute heat stress, models combining corticosterone levels of multiple tissues reached an AUC of 1.00 for H30, and the sensitivity increased to 100\% for H60 and H120. In conclusion, changes in the patterns and thermosensitivity of corticosterone levels associated with the duration of heat stress across body tissues were evidenced. The single and multi-organizational corticosterone models serve as indicators for evaluating heat stress across different time periods.",2019,81,NA,12-19
Susceptibility to entomopathogens and modulation of basal immunity in two insect models at different temperatures,"Mastore, Maristella and Quadroni, Silvia and Toscano, Andrea and Mottadelli, Nicole and Brivio, Maurizio F.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2018.11.006,"In this work, we analysed the efficacy of different commercial bio-insecticides (Steinernema feltiae, Steinernema carpocapsae, Heterorhabditis bacteriophora and Bacillus thuringiensis) by valuating the mortality induced on two insect models, Galleries mellonella (Lepidoptera) and Sarcophaga africa (Diptera) after exposure to different temperatures (10, 20 and 30 degrees C). Moreover, we investigated the effects of temperature on the basal humoral immunity of the two target insects; particularly, phenoloxidase (PO) and lysozyme activity. Our results show that G. mellonella is susceptible to all bio-insecticides at all the examined temperatures, except when infected at 10 degrees C with S. carpocapsae and at 30 degrees C with S. feltiae and B. thuringiensis. S. africa is more susceptible at 30 degrees C to all bioinsecticides; whereas, when infected at 10 and 20 degrees C, H. bacteriophora is the most efficient. Temperature modulates PO activity of both G. mellonella and S. africa, otherwise variations in lysozyme activity is observed only in G. mellonella. Except for a possible correlation between the increased lysozyme activity and the delayed Bt efficacy recorded on G. mellonella at 30 degrees C, a different resistance to bio-insecticides at different temperatures does not seem to be associated to variations of the host basal immunity, probably due to immunoevasive and immunodepressive strategies of these entomopathogens.",2019,79,NA,15-23
